"Date and Time";"ec_state";"EC da água";"Médai do EC";"Hora lig 1";"Hora lig 2";"Hora lig 3"
"2025-10-13 03:34:49";"0";"1,53";"0";"0";"0";"0"
"2025-10-13 03:24:48";"0";"1,53";"0";"0";"0";"0"
"2025-10-13 03:14:48";"0";"1,53";"0";"0";"0";"0"
"2025-10-13 03:04:48";"0";"1,53";"0";"0";"0";"0"
"2025-10-13 02:54:48";"0";"1,53";"0";"0";"0";"0"
"2025-10-13 02:44:48";"0";"1,53";"0";"0";"0";"0"
"2025-10-13 02:34:48";"0";"1,53";"0";"0";"0";"0"
"2025-10-13 02:24:48";"0";"1,53";"0";"0";"0";"0"
"2025-10-13 02:14:48";"0";"1,53";"0";"0";"0";"0"
"2025-10-13 02:04:48";"0";"1,53";"0";"0";"0";"0"
"2025-10-13 01:54:48";"0";"1,53";"0";"0";"0";"0"
"2025-10-13 01:44:48";"0";"1,53";"0";"0";"0";"0"
"2025-10-13 01:34:48";"0";"1,53";"0";"0";"0";"0"
"2025-10-13 01:24:48";"0";"1,53";"0";"0";"0";"0"
"2025-10-13 01:14:48";"0";"1,53";"0";"0";"0";"0"
"2025-10-13 01:04:48";"0";"1,53";"0";"0";"0";"0"
"2025-10-13 00:54:48";"0";"1,53";"0";"0";"0";"0"
"2025-10-13 00:44:48";"0";"1,53";"0";"0";"0";"0"
"2025-10-13 00:34:48";"0";"1,52";"0";"0";"0";"0"
"2025-10-13 00:24:48";"0";"1,52";"0";"0";"0";"0"
"2025-10-13 00:14:51";"0";"1,52";"0";"0";"0";"0"
"2025-10-13 00:04:48";"0";"1,52";"0";"0";"0";"0"
"2025-10-12 23:54:48";"0";"1,52";"0";"0";"0";"0"
"2025-10-12 23:44:48";"0";"1,52";"0";"0";"0";"0"
"2025-10-12 23:34:48";"0";"1,52";"0";"0";"0";"0"
"2025-10-12 23:24:48";"0";"1,52";"0";"0";"0";"0"
"2025-10-12 23:14:48";"0";"1,52";"0";"0";"0";"0"
"2025-10-12 23:04:48";"0";"1,51";"0";"0";"0";"0"
"2025-10-12 22:54:48";"0";"1,51";"0";"0";"0";"0"
"2025-10-12 22:44:48";"0";"1,5";"0";"0";"0";"0"
"2025-10-12 22:34:48";"0";"1,5";"0";"0";"0";"0"
"2025-10-12 22:24:48";"0";"1,5";"0";"0";"0";"0"
"2025-10-12 22:14:48";"0";"1,5";"0";"0";"0";"0"
"2025-10-12 22:04:48";"0";"1,5";"0";"0";"0";"0"
"2025-10-12 21:54:48";"0";"1,5";"0";"0";"0";"0"
"2025-10-12 21:44:48";"0";"1,5";"0";"0";"0";"0"
"2025-10-12 21:34:48";"0";"1,5";"0";"0";"0";"0"
"2025-10-12 21:24:48";"0";"1,5";"0";"0";"0";"0"
"2025-10-12 21:14:48";"0";"1,49";"0";"0";"0";"0"
"2025-10-12 21:04:48";"0";"1,5";"0";"0";"0";"0"
"2025-10-12 20:54:48";"0";"1,5";"0";"0";"0";"0"
"2025-10-12 20:44:48";"0";"1,5";"0";"0";"0";"0"
"2025-10-12 20:34:48";"0";"1,5";"0";"0";"0";"0"
"2025-10-12 20:24:48";"0";"1,5";"0";"0";"0";"0"
"2025-10-12 20:14:48";"0";"1,5";"0";"0";"0";"0"
"2025-10-12 20:04:48";"0";"1,49";"0";"0";"0";"0"
"2025-10-12 19:54:48";"0";"1,49";"0";"0";"0";"0"
"2025-10-12 19:44:48";"0";"1,48";"0";"0";"0";"0"
"2025-10-12 19:24:48";"0";"1,47";"0";"0";"0";"0"
"2025-10-12 19:14:48";"0";"1,47";"0";"0";"0";"0"
"2025-10-12 19:04:48";"0";"1,47";"0";"0";"0";"0"
"2025-10-12 18:54:48";"0";"1,47";"0";"0";"0";"0"
"2025-10-12 18:44:48";"0";"1,47";"0";"0";"0";"0"
"2025-10-12 18:34:48";"0";"1,47";"0";"0";"0";"0"
"2025-10-12 18:24:48";"0";"1,47";"0";"0";"0";"0"
"2025-10-12 18:16:38";"0";"1,46";"0";"0";"0";"0"
"2025-10-12 18:16:37";"0";"1,46";"0";"0";"0";"0"
"2025-10-12 18:08:12";"5";"1,47";"1,47";"0,23";"0,23";"0"
"2025-10-12 17:58:12";"5";"1,47";"1,47";"0,23";"0,23";"0"
"2025-10-12 17:58:06";"5";"1,47";"1,47";"0,23";"0,23";"0"
"2025-10-12 17:48:12";"5";"1,46";"1,47";"0,23";"0,23";"0"
"2025-10-12 17:38:12";"5";"1,46";"1,47";"0,23";"0,23";"0"
"2025-10-12 17:28:12";"5";"1,46";"1,47";"0,23";"0,23";"0"
"2025-10-12 17:18:12";"5";"1,46";"1,47";"0,23";"0,23";"0"
"2025-10-12 17:08:12";"5";"1,47";"1,47";"0,23";"0,23";"0"
"2025-10-12 16:58:12";"5";"1,47";"1,47";"0,23";"0,23";"0"
"2025-10-12 16:58:06";"5";"1,47";"1,47";"0,23";"0,23";"0"
"2025-10-12 16:48:10";"5";"1,45";"1,48";"0,23";"0,23";"0"
"2025-10-12 16:38:10";"5";"1,45";"1,48";"0,23";"0,23";"0"
"2025-10-12 16:28:10";"5";"1,46";"1,48";"0,23";"0,23";"0"
"2025-10-12 16:18:10";"5";"1,46";"1,48";"0,23";"0,23";"0"
"2025-10-12 16:08:10";"5";"1,47";"1,48";"0,23";"0,23";"0"
"2025-10-12 15:58:10";"5";"1,47";"1,48";"0,23";"0,23";"0"
"2025-10-12 15:58:06";"5";"1,47";"1,48";"0,23";"0,23";"0"
"2025-10-12 15:48:08";"5";"1,45";"1,48";"0,23";"0,23";"0"
"2025-10-12 15:38:08";"5";"1,45";"1,48";"0,23";"0,23";"0"
"2025-10-12 15:28:08";"5";"1,46";"1,48";"0,23";"0,23";"0"
"2025-10-12 15:18:08";"5";"1,46";"1,48";"0,23";"0,23";"0"
"2025-10-12 15:08:08";"5";"1,47";"1,48";"0,23";"0,23";"0"
"2025-10-12 14:58:08";"5";"1,48";"1,48";"0,23";"0,23";"0"
"2025-10-12 14:58:05";"5";"1,48";"1,48";"0,23";"0,23";"0"
"2025-10-12 14:52:56";"4";"1,47";"1,47";"0,23";"0,23";"0"
"2025-10-12 14:47:34";"5";"1,42";"1,47";"0";"0";"0"
"2025-10-12 14:37:34";"5";"1,43";"1,47";"0";"0";"0"
"2025-10-12 14:27:34";"5";"1,43";"1,47";"0";"0";"0"
"2025-10-12 14:17:34";"5";"1,44";"1,47";"0";"0";"0"
"2025-10-12 14:07:34";"5";"1,45";"1,47";"0";"0";"0"
"2025-10-12 13:57:34";"5";"1,47";"1,47";"0";"0";"0"
"2025-10-12 13:52:42";"5";"1,47";"1,47";"0";"0";"0"
"2025-10-12 13:47:34";"5";"1,43";"1,47";"0";"0";"0"
"2025-10-12 13:37:34";"5";"1,44";"1,47";"0";"0";"0"
"2025-10-12 13:27:34";"5";"1,44";"1,47";"0";"0";"0"
"2025-10-12 13:17:34";"5";"1,45";"1,47";"0";"0";"0"
"2025-10-12 13:07:34";"5";"1,45";"1,47";"0";"0";"0"
"2025-10-12 12:57:34";"5";"1,47";"1,47";"0";"0";"0"
"2025-10-12 12:52:42";"5";"1,47";"1,47";"0";"0";"0"
"2025-10-12 12:47:34";"5";"1,44";"1,48";"0";"0";"0"
"2025-10-12 12:37:34";"5";"1,44";"1,48";"0";"0";"0"
"2025-10-12 12:27:34";"5";"1,45";"1,48";"0";"0";"0"
"2025-10-12 12:17:34";"5";"1,45";"1,48";"0";"0";"0"
"2025-10-12 12:07:33";"5";"1,46";"1,48";"0";"0";"0"
"2025-10-12 11:57:34";"5";"1,47";"1,48";"0";"0";"0"
"2025-10-12 11:52:42";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-12 11:47:34";"5";"1,44";"1,48";"0";"0";"0"
"2025-10-12 11:37:33";"5";"1,44";"1,48";"0";"0";"0"
"2025-10-12 11:27:34";"5";"1,45";"1,48";"0";"0";"0"
"2025-10-12 11:17:33";"5";"1,46";"1,48";"0";"0";"0"
"2025-10-12 11:07:33";"5";"1,46";"1,48";"0";"0";"0"
"2025-10-12 10:57:33";"5";"1,47";"1,48";"0";"0";"0"
"2025-10-12 10:52:42";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-12 10:47:33";"5";"1,45";"1,48";"0";"0";"0"
"2025-10-12 10:37:33";"5";"1,45";"1,48";"0";"0";"0"
